"aquastatElement","aquastatElement_description"
"4107","Population density [inhab/km2]"
"4448","Other agricultural water managed area [1000 ha]"
"4458","GDP per capita [current US$/inhab]"
"4470","% of total country area cultivated [%]"
"4471","Dam capacity per capita [m3/inhab]"
"4538","% of economically active population active in agriculture [%]"
"4450","Freshwater withdrawal as % of internal renewable water resources [%]"
"4457","Municipal water withdrawal per capita (total population) [m3/inhab/year]"
"4467","Freshwater withdrawal as % of total water withdrawal [%]"
"4468","Municipal water withdrawal per capita (urban population) [m3/inhab/year]"
"4531","Industrial water withdrawal per capita [m3/inhab/year]"
"4532","Agricultural water withdrawal per capita [m3/inhab/year]"
"4550","SDG 6.4.2. Water Stress [%]"
"4463","% of area equipped for full control irrigation actually irrigated [%]"
"4553","SDG 6.4.1. Industrial Water Use Efficiency [US$/m3]"
"4554","SDG 6.4.1. Services Water Use Efficiency [US$/m3]"
"4271","Agricultural water requirement as % of agricultural water withdrawal [%]"
"4551","SDG 6.4.1. Water Use Efficiency [US$/m3]"
"4552","SDG 6.4.1. Irrigated Agriculture Water Use Efficiency [US$/m3]"
"4445","% of area equipped for irrigation salinized [%]"
"4446","% of area equipped for irrigation drained [%]"
"4466","% of area equipped for irrigation by direct use of  treated municipal wastewater [%]"
"4455","Conservation agriculture area as % of arable land area [%]"
"4514","% of area equipped for irrigation by direct use of non-treated municipal wastewater [%]"
