"sdgregion_code","m49_level1_code","m49_level2_code","ldcs_code","lldcssids_code"
"419","419","29",NA,"722"
"62","142","34","199","432"
"202","202","17","199",NA
"419","419","29",NA,"722"
"513","150","154",NA,NA
"513","150","39",NA,NA
"513","150","39",NA,NA
"747","142","145",NA,NA
"419","419","5",NA,NA
"747","142","145",NA,"432"
"543","9","61",NA,"722"
"202","202","14",NA,NA
"419","419","29",NA,"722"
"53","9","53",NA,NA
"513","150","155",NA,NA
"747","142","145",NA,"432"
"202","202","14","199","432"
"513","150","155",NA,NA
"202","202","11","199",NA
"202","202","11","199","432"
"62","142","34","199",NA
"513","150","151",NA,NA
"747","142","145",NA,NA
"419","419","29",NA,"722"
"513","150","39",NA,NA
"513","150","151",NA,NA
"419","419","13",NA,"722"
"513","21","21",NA,NA
"419","419","5",NA,"432"
"419","419","5",NA,NA
"419","419","29",NA,"722"
"753","142","35",NA,NA
"62","142","34","199","432"
"202","202","18",NA,"432"
"202","202","17","199","432"
"513","21","21",NA,NA
"53","9","53",NA,NA
"513","150","155",NA,NA
"419","419","5",NA,NA
"753","142","30",NA,NA
"202","202","11",NA,NA
"202","202","17",NA,NA
"202","202","17","199",NA
"202","202","17",NA,NA
"543","9","61",NA,"722"
"419","419","5",NA,NA
"202","202","14","199","722"
"202","202","11",NA,"722"
"419","419","13",NA,NA
"419","419","29",NA,"722"
"53","9","53",NA,NA
"419","419","29",NA,NA
"747","142","145",NA,NA
"513","150","151",NA,NA
"513","150","155",NA,NA
"202","202","14","199",NA
"419","419","29",NA,"722"
"513","150","154",NA,NA
"419","419","29",NA,"722"
"747","15","15",NA,NA
"419","419","5",NA,NA
"747","15","15",NA,NA
"202","202","14","199",NA
"747","15","15",NA,NA
"513","150","39",NA,NA
"513","150","154",NA,NA
"202","202","14","199","432"
"513","150","154",NA,NA
"543","9","54",NA,"722"
"419","419","5",NA,NA
"513","150","155",NA,NA
"513","150","154",NA,NA
"543","9","57",NA,"722"
"202","202","17",NA,NA
"513","150","154",NA,NA
"747","142","145",NA,NA
"513","150","154",NA,NA
"202","202","11",NA,NA
"513","150","39",NA,NA
"202","202","11","199",NA
"419","419","29",NA,NA
"202","202","11","199",NA
"202","202","11","199","722"
"202","202","17","199",NA
"513","150","39",NA,NA
"419","419","29",NA,"722"
"513","21","21",NA,NA
"419","419","13",NA,NA
"419","419","5",NA,NA
"543","9","57",NA,"722"
"419","419","5",NA,"722"
"753","142","30",NA,NA
"53","9","53",NA,NA
"419","419","13",NA,NA
"513","150","39",NA,NA
"419","419","29","199","722"
"513","150","151",NA,NA
"753","142","35",NA,NA
"513","150","154",NA,NA
"62","142","34",NA,NA
"202","202","14",NA,NA
"513","150","154",NA,NA
"62","142","34",NA,NA
"747","142","145",NA,NA
"513","150","154",NA,NA
"747","142","145",NA,NA
"513","150","39",NA,NA
"419","419","29",NA,"722"
"513","150","154",NA,NA
"747","142","145",NA,NA
"753","142","30",NA,NA
"62","142","143",NA,"432"
"202","202","14",NA,NA
"62","142","143",NA,"432"
"753","142","35","199",NA
"543","9","57","199","722"
"419","419","29",NA,"722"
"753","142","30",NA,NA
"747","142","145",NA,NA
"753","142","35","199","432"
"747","142","145",NA,NA
"202","202","11","199",NA
"747","15","15",NA,NA
"419","419","29",NA,"722"
"513","150","155",NA,NA
"62","142","34",NA,NA
"202","202","18","199","432"
"513","150","154",NA,NA
"513","150","155",NA,NA
"513","150","154",NA,NA
"753","142","30",NA,NA
"747","15","15",NA,NA
"513","150","155",NA,NA
"513","150","151",NA,"432"
"202","202","14","199",NA
"62","142","34",NA,"722"
"419","419","13",NA,NA
"543","9","57",NA,"722"
"513","150","39",NA,"432"
"202","202","11","199","432"
"513","150","39",NA,NA
"753","142","35","199",NA
"513","150","39",NA,NA
"753","142","30",NA,"432"
"543","9","57",NA,"722"
"202","202","14","199",NA
"202","202","11","199",NA
"419","419","29",NA,"722"
"419","419","29",NA,NA
"202","202","14",NA,"722"
"202","202","14","199","432"
"753","142","35",NA,NA
"202","202","14",NA,NA
"202","202","18",NA,NA
"543","9","54",NA,"722"
"202","202","11","199","432"
"53","9","53",NA,NA
"202","202","11",NA,NA
"419","419","13",NA,NA
"543","9","61",NA,"722"
"513","150","155",NA,NA
"513","150","154",NA,NA
"62","142","34","199","432"
"543","9","57",NA,"722"
"53","9","53",NA,NA
"747","142","145",NA,NA
"62","142","34",NA,NA
"419","419","13",NA,NA
"543","9","61",NA,NA
"419","419","5",NA,NA
"753","142","35",NA,NA
"543","9","57",NA,"722"
"543","9","54",NA,"722"
"513","150","151",NA,NA
"419","419","29",NA,"722"
"753","142","30",NA,NA
"513","150","39",NA,NA
"419","419","5",NA,"432"
"747","142","145",NA,NA
"543","9","61",NA,"722"
"747","142","145",NA,NA
"202","202","14",NA,NA
"513","150","151",NA,NA
"513","150","151",NA,NA
"202","202","14","199","432"
"747","142","145",NA,NA
"747","15","15","199",NA
"202","202","11","199",NA
"753","142","35",NA,"722"
"419","419","5",NA,NA
"202","202","11",NA,NA
"513","150","154",NA,NA
"543","9","54","199","722"
"202","202","11","199",NA
"419","419","13",NA,NA
"513","150","39",NA,NA
"202","202","14","199",NA
"513","21","21",NA,NA
"513","150","39",NA,NA
"202","202","14","199","432"
"202","202","17","199","722"
"419","419","5",NA,"722"
"513","150","151",NA,NA
"513","150","39",NA,NA
"513","150","154",NA,NA
"202","202","18",NA,"432"
"202","202","14",NA,"722"
"747","142","145",NA,NA
"419","419","29",NA,NA
"202","202","17","199","432"
"202","202","11","199",NA
"753","142","35",NA,NA
"62","142","143",NA,"432"
"543","9","61",NA,NA
"62","142","143",NA,"432"
"753","142","35","199","722"
"543","9","61",NA,"722"
"419","419","29",NA,"722"
"747","15","15",NA,NA
"747","142","145",NA,NA
"543","9","61","199","722"
"202","202","14","199",NA
"202","202","14","199","432"
"513","150","151",NA,NA
"543","9","57",NA,NA
"419","419","5",NA,NA
"513","21","21",NA,NA
"62","142","143",NA,"432"
"513","150","39",NA,NA
"419","419","29",NA,"722"
"419","419","5",NA,NA
"419","419","29",NA,"722"
"419","419","29",NA,"722"
"753","142","35",NA,NA
"543","9","54","199","722"
"543","9","61",NA,NA
"543","9","61",NA,"722"
"747","142","145","199",NA
"202","202","18",NA,NA
"202","202","14","199","432"
"202","202","14",NA,"432"
