"geographicAreaM49_description","timePointYears","Value_original","Value_corrected"
"Afghanistan","1963",55,47.15
"Afghanistan","1964",55,47.15
"Afghanistan","1965",55,47.15
"Afghanistan","1966",55,47.15
"Afghanistan","1968",55,47.15
"Afghanistan","1969",55,47.15
"Afghanistan","1970",55,47.15
"Afghanistan","1971",55,47.15
"Afghanistan","1973",55,47.15
"Afghanistan","1974",55,47.15
"Afghanistan","1975",55,47.15
"Afghanistan","1976",55,47.15
"Afghanistan","1978",55,47.15
"Afghanistan","1979",55,47.15
"Afghanistan","1980",55,47.15
"Afghanistan","1981",55,47.15
"Afghanistan","1983",55,47.15
"Afghanistan","1984",55,47.15
"Afghanistan","1985",55,47.15
"Afghanistan","1986",55,47.15
"Afghanistan","1988",55,47.15
"Afghanistan","1989",55,47.15
"Afghanistan","1990",55,47.15
"Afghanistan","1991",55,47.15
"Afghanistan","1993",55,47.15
"Afghanistan","1994",55,47.15
"Afghanistan","1995",55,47.15
"Afghanistan","1996",55,47.15
"Afghanistan","1998",55,47.15
"Afghanistan","1999",55,47.15
"Afghanistan","2000",55,47.15
"Afghanistan","2001",55,47.15
"Afghanistan","2003",55,47.15
"Afghanistan","2004",55,47.15
"Afghanistan","2005",55,47.15
"Afghanistan","2006",55,47.15
